source_workbook,source_sheet,source_row_number,cow_id,replication,thi_category,genetic_group,dry_matter_intake_kg_day
"DMI, milk yield and composition.xlsx",Sheet1,262,209,1,T1,HF50,9.72
"DMI, milk yield and composition.xlsx",Sheet1,263,209,2,T1,HF50,9.11
"DMI, milk yield and composition.xlsx",Sheet1,264,209,3,T1,HF50,8.55
"DMI, milk yield and composition.xlsx",Sheet1,265,209,4,T1,HF50,8.95
"DMI, milk yield and composition.xlsx",Sheet1,266,209,5,T1,HF50,9.65
"DMI, milk yield and composition.xlsx",Sheet1,267,209,1,T2,HF50,8.88
"DMI, milk yield and composition.xlsx",Sheet1,268,209,2,T2,HF50,8.66
"DMI, milk yield and composition.xlsx",Sheet1,269,209,3,T2,HF50,9.07
"DMI, milk yield and composition.xlsx",Sheet1,270,209,4,T2,HF50,8.88
"DMI, milk yield and composition.xlsx",Sheet1,271,209,5,T2,HF50,8.71
"DMI, milk yield and composition.xlsx",Sheet1,272,210,1,T0,HF50,9.44
"DMI, milk yield and composition.xlsx",Sheet1,273,210,2,T0,HF50,10.42
"DMI, milk yield and composition.xlsx",Sheet1,274,210,3,T0,HF50,9.22
"DMI, milk yield and composition.xlsx",Sheet1,275,210,4,T0,HF50,10.08
"DMI, milk yield and composition.xlsx",Sheet1,276,210,5,T0,HF50,9.55
"DMI, milk yield and composition.xlsx",Sheet1,277,210,1,T1,HF50,8.97
"DMI, milk yield and composition.xlsx",Sheet1,278,210,2,T1,HF50,9.16
"DMI, milk yield and composition.xlsx",Sheet1,279,210,3,T1,HF50,8.77
"DMI, milk yield and composition.xlsx",Sheet1,280,210,4,T1,HF50,9.58
"DMI, milk yield and composition.xlsx",Sheet1,281,210,5,T1,HF50,9.33
"DMI, milk yield and composition.xlsx",Sheet1,282,210,1,T2,HF50,9.19
"DMI, milk yield and composition.xlsx",Sheet1,283,210,2,T2,HF50,8.58
"DMI, milk yield and composition.xlsx",Sheet1,284,210,3,T2,HF50,8.82
"DMI, milk yield and composition.xlsx",Sheet1,285,210,4,T2,HF50,8.2
"DMI, milk yield and composition.xlsx",Sheet1,286,210,5,T2,HF50,8.76
"DMI, milk yield and composition.xlsx",Sheet1,287,211,1,T0,HF50,9.57
"DMI, milk yield and composition.xlsx",Sheet1,288,211,2,T0,HF50,10.05
"DMI, milk yield and composition.xlsx",Sheet1,289,211,3,T0,HF50,9.9
"DMI, milk yield and composition.xlsx",Sheet1,290,211,4,T0,HF50,8.66
"DMI, milk yield and composition.xlsx",Sheet1,291,211,5,T0,HF50,9.66
"DMI, milk yield and composition.xlsx",Sheet1,292,211,1,T1,HF50,9.7
"DMI, milk yield and composition.xlsx",Sheet1,293,211,2,T1,HF50,8.38
"DMI, milk yield and composition.xlsx",Sheet1,294,211,3,T1,HF50,8.22
"DMI, milk yield and composition.xlsx",Sheet1,295,211,4,T1,HF50,9.14
"DMI, milk yield and composition.xlsx",Sheet1,296,211,5,T1,HF50,8.9
"DMI, milk yield and composition.xlsx",Sheet1,297,211,1,T2,HF50,8.71
"DMI, milk yield and composition.xlsx",Sheet1,298,211,2,T2,HF50,8.76
"DMI, milk yield and composition.xlsx",Sheet1,299,211,3,T2,HF50,8.8
"DMI, milk yield and composition.xlsx",Sheet1,300,211,4,T2,HF50,8.67
"DMI, milk yield and composition.xlsx",Sheet1,301,211,5,T2,HF50,8.01
"DMI, milk yield and composition.xlsx",Sheet1,302,302,1,T0,HF62.5,10.79
"DMI, milk yield and composition.xlsx",Sheet1,303,302,2,T0,HF62.5,11.3
"DMI, milk yield and composition.xlsx",Sheet1,304,302,3,T0,HF62.5,11.08
"DMI, milk yield and composition.xlsx",Sheet1,305,302,4,T0,HF62.5,11.36
"DMI, milk yield and composition.xlsx",Sheet1,306,302,5,T0,HF62.5,11.38
"DMI, milk yield and composition.xlsx",Sheet1,307,302,1,T1,HF62.5,9.49
"DMI, milk yield and composition.xlsx",Sheet1,308,302,2,T1,HF62.5,10.6
"DMI, milk yield and composition.xlsx",Sheet1,309,302,3,T1,HF62.5,10.59
"DMI, milk yield and composition.xlsx",Sheet1,310,302,4,T1,HF62.5,10.16
"DMI, milk yield and composition.xlsx",Sheet1,311,302,5,T1,HF62.5,10.39
"DMI, milk yield and composition.xlsx",Sheet1,312,302,1,T2,HF62.5,9.83
"DMI, milk yield and composition.xlsx",Sheet1,313,302,2,T2,HF62.5,9.02
"DMI, milk yield and composition.xlsx",Sheet1,314,302,3,T2,HF62.5,9.34
"DMI, milk yield and composition.xlsx",Sheet1,315,302,4,T2,HF62.5,10.39
"DMI, milk yield and composition.xlsx",Sheet1,316,302,5,T2,HF62.5,9.58
"DMI, milk yield and composition.xlsx",Sheet1,317,303,1,T0,HF62.5,11.35
"DMI, milk yield and composition.xlsx",Sheet1,318,303,2,T0,HF62.5,11.03
"DMI, milk yield and composition.xlsx",Sheet1,319,303,3,T0,HF62.5,9.98
"DMI, milk yield and composition.xlsx",Sheet1,320,303,4,T0,HF62.5,11.19
"DMI, milk yield and composition.xlsx",Sheet1,321,303,5,T0,HF62.5,10.5
"DMI, milk yield and composition.xlsx",Sheet1,322,303,1,T1,HF62.5,9.61
"DMI, milk yield and composition.xlsx",Sheet1,323,303,2,T1,HF62.5,10.35
"DMI, milk yield and composition.xlsx",Sheet1,324,303,3,T1,HF62.5,10.8
"DMI, milk yield and composition.xlsx",Sheet1,325,303,4,T1,HF62.5,9.68
"DMI, milk yield and composition.xlsx",Sheet1,326,303,5,T1,HF62.5,9.9
"DMI, milk yield and composition.xlsx",Sheet1,327,303,1,T2,HF62.5,9.28
"DMI, milk yield and composition.xlsx",Sheet1,328,303,2,T2,HF62.5,9.44
"DMI, milk yield and composition.xlsx",Sheet1,329,303,3,T2,HF62.5,9.87
"DMI, milk yield and composition.xlsx",Sheet1,330,303,4,T2,HF62.5,9.36
"DMI, milk yield and composition.xlsx",Sheet1,331,303,5,T2,HF62.5,9.68
"DMI, milk yield and composition.xlsx",Sheet1,332,304,1,T0,HF62.5,10.85
"DMI, milk yield and composition.xlsx",Sheet1,333,304,2,T0,HF62.5,10.37
"DMI, milk yield and composition.xlsx",Sheet1,334,304,3,T0,HF62.5,11.23
"DMI, milk yield and composition.xlsx",Sheet1,335,304,4,T0,HF62.5,10.71
"DMI, milk yield and composition.xlsx",Sheet1,336,304,5,T0,HF62.5,10.0
